"1","Bitcoin","$17,283.75","+0.11%","$12.61 B","$331.38 B"
"2","Ethereum","$1,288.12","+0.60%","$3.1 B","$156.24 B"
"3","Tether","$1.02","+0.05%","$15.87 B","$65.84 B"
"4","BNB","$293.95","+1.03%","$435.08 M","$46.52 B"
"5","USD Coin","$1.00","+0.04%","$1.18 B","$42.77 B"
"6","Binance USD","$1.00","+0.14%","$3.78 B","$22.2 B"
"7","XRP","$0.3919","-0.34%","$300 M","$19.51 B"
"8","Dogecoin","$0.09809","-0.03%","$204.55 M","$12.87 B"
"9","Cardano","$0.3168","-0.23%","$88.03 M","$10.78 B"
"10","Polygon","$0.9229","+0.25%","$111.45 M","$7.96 B"
"11","Polkadot","$5.37","+0.01%","$87.51 M","$6.06 B"
"12","Dai","$1.01","+0.06%","$140.46 M","$5.89 B"
"13","Litecoin","$78.58","+1.45%","$263.26 M","$5.57 B"
"14","Wrapped TRON","$0.05455","-0.39%","$832,660","$5.55 B"
"15","Shiba Inu","$0.000009385","-0.28%","$52.84 M","$5.06 B"
"16","TRON","$0.05463","-0.72%","$144.74 M","$5.03 B"
"17","Solana","$14.30","+0.47%","$98.5 M","$5.01 B"
"18","HEX","$0.02858","+0.16%","$1.89 M","$4.96 B"
"19","Uniswap","$6.13","-1.44%","$39.3 M","$4.6 B"
"20","Lido stETH","$1,226.69","-1.03%","$7.44 M","$4.28 B"
"21","Avalanche","$13.63","+0.29%","$93.17 M","$4.18 B"
"22","UNUS SED LEO","$3.74","-0.59%","$1.24 M","$3.57 B"
"23","Chainlink","$7.00","+0.87%","$109.69 M","$3.51 B"
"24","Wrapped Bitcoin","$17,367.10","+0.07%","$35.23 M","$3.43 B"
"25","Cosmos","$10.03","+1.04%","$164.35 M","$2.82 B"
"26","Monero","$150.56","-0.01%","$51.12 M","$2.74 B"
"27","Ethereum Classic","$19.55","-0.20%","$61.36 M","$2.66 B"
"28","Toncoin","$1.92","+4.78%","$30.3 M","$2.35 B"
"29","Stellar","$0.08665","+0.19%","$26.48 M","$2.2 B"
"30","Bitcoin Cash","$111.00","-0.54%","$101 M","$2.1 B"
"31","Algorand","$0.2301","-1.06%","$29.17 M","$1.62 B"
"32","Cronos","$0.06447","-0.84%","$12.8 M","$1.61 B"
"33","ApeCoin","$4.20","+2.15%","$177.12 M","$1.5 B"
"34","Filecoin","$4.47","+0.02%","$42.34 M","$1.48 B"
"35","Quant","$122.88","-0.03%","$12.93 M","$1.46 B"
"36","NEAR Protocol","$1.72","-0.56%","$29.12 M","$1.42 B"
"37","VeChain","$0.01999","+0.09%","$25.89 M","$1.41 B"
"38","OKB","$21.48","-0.06%","$12.89 M","$1.29 B"
"39","Internet Computer","$4.47","+0.55%","$14.32 M","$1.22 B"
"40","Hedera","$0.05103","+0.46%","$8.65 M","$1.21 B"
"41","EOS","$1.06","-0.35%","$95.71 M","$1.12 B"
"42","Wrapped BNB","$291.36","+1.31%","$35.92 M","$1.11 B"
"43","Trust Wallet Token","$2.63","+2.39%","$41.9 M","$1.09 B"
"44","Elrond","$46.31","-0.03%","$15.78 M","$1.09 B"
"45","Flow","$1.05","+0.24%","$18.25 M","$1.07 B"
"46","Luna Classic","$0.0001891","-0.06%","$51.29 M","$1.02 B"
"47","Frax","$0.9964","-0.13%","$3.59 M","$1.02 B"
"48","Huobi Token","$6.44","-0.28%","$8.25 M","$988.18 M"
"49","Pax Dollar","$1.00","+0.05%","$672,683","$947.51 M"
"50","Tezos","$1.02","+0.62%","$9.07 M","$924.16 M"
